question_id,question_text,answer_id,answer_text,answer_correct
1,What is the capital of France?,1,London,0
1,What is the capital of France?,2,Paris,1
1,What is the capital of France?,3,Berlin,0
2,Which planet is known as the "Red Planet"?,1,Mars,1
2,Which planet is known as the "Red Planet"?,2,Venus,0
2,Which planet is known as the "Red Planet"?,3,Jupiter,0
3,Who wrote the play "Romeo and Juliet"?,1,William Shakespeare,1
3,Who wrote the play "Romeo and Juliet"?,2,Charles Dickens,0
3,Who wrote the play "Romeo and Juliet"?,3,Jane Austen,0
4,What is the largest mammal on Earth?,1,Giraffe,0
4,What is the largest mammal on Earth?,2,African elephant,0
4,What is the largest mammal on Earth?,3,Blue whale,1
5,Which famous scientist is known for the theory of relativity?,1,Isaac Newton,0
5,Which famous scientist is known for the theory of relativity?,2,Albert Einstein,1
5,Which famous scientist is known for the theory of relativity?,3,Galileo Galilei,0
